Unnamed: 0,code_insee,nom_standard,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,code_postal,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,taille_unite_urbaine,population,superficie_hectare,superficie_km2,densite,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,distance_urgence_km
16972,46260,Sainte-Colombe,sainte-colombe,SAINTE-COLOMBE,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46120.0,7611.0,12300,46000,0.0,230,1131,11,20.0,44.72,2.013,7,Rural à habitat très dispersé,12.348991623291937
16973,46262,Lendou-en-Quercy,lendou-en-quercy,LENDOU-EN-QUERCY,COM,commune,76,Occitanie,46,Lot,4612,Luzech,200039519,CC du Quercy Blanc,46800.0,7607.0,46042,46000,0.0,624,1520,15,41.0,44.304,1.262,7,Rural à habitat très dispersé,20.921389641459566
16974,46263,Barguelonne-en-Quercy,barguelonne-en-quercy,BARGUELONNE-EN-QUERCY,COM,commune,76,Occitanie,46,Lot,4612,Luzech,200039519,CC du Quercy Blanc,46800.0,7607.0,46042,46000,0.0,702,1019,10,69.0,44.36,1.225,7,Rural à habitat très dispersé,19.282117203628292
16975,46264,Saint-Denis-Catus,saint-denis-catus,SAINT-DENIS-CATUS,COM,commune,76,Occitanie,46,Lot,4604,Causse et Bouriane,200023737,CA du Grand Cahors,46150.0,7607.0,46042,46000,0.0,199,1082,11,18.0,44.569,1.388,7,Rural à habitat très dispersé,14.358206347605273
16976,46265,Saint-Denis-lès-Martel,saint-denis-les-martel,SAINT-DENIS-LÈS-MARTEL,COM,commune,76,Occitanie,46,Lot,4614,Martel,200066371,CC Causses et Vallée de la Dordogne,46600.0,7619.0,46128,46000,0.0,333,792,8,42.0,44.945,1.659,6,Rural à habitat dispersé,20.30521638570462
16977,46266,Saint-Félix,saint-felix,SAINT-FÉLIX,COM,commune,76,Occitanie,46,Lot,4608,Figeac-2,200067361,CC Grand-Figeac,46100.0,7611.0,12300,46000,0.0,536,777,8,69.0,44.612,2.113,6,Rural à habitat dispersé,6.19297357263796
16978,46267,Saint-Germain-du-Bel-Air,saint-germain-du-bel-air,SAINT-GERMAIN-DU-BEL-AIR,COM,commune,76,Occitanie,46,Lot,4604,Causse et Bouriane,244600482,CC Quercy - Bouriane,46310.0,7607.0,46042,46000,0.0,585,2135,21,27.0,44.646,1.442,6,Rural à habitat dispersé,11.03975332014841
16979,46268,Saint Géry-Vers,saint-gery-vers,SAINT GÉRY-VERS,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,200023737,CA du Grand Cahors,46090.0,7607.0,46042,46000,0.0,909,1369,14,66.0,44.486,1.6,6,Rural à habitat dispersé,13.740658019733981
16980,46269,Saint-Hilaire,saint-hilaire,SAINT-HILAIRE,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46210.0,7619.0,46128,46000,0.0,58,795,8,7.0,44.788,2.15,7,Rural à habitat très dispersé,21.782923973278532
16981,46270,Saint-Jean-de-Laur,saint-jean-de-laur,SAINT-JEAN-DE-LAUR,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,200067361,CC Grand-Figeac,46260.0,7611.0,12300,46000,0.0,243,2170,22,11.0,44.43,1.831,7,Rural à habitat très dispersé,18.954974288441235
16982,46271,Saint-Jean-Lespinasse,saint-jean-lespinasse,SAINT-JEAN-LESPINASSE,COM,commune,76,Occitanie,46,Lot,4616,Saint-Céré,200066371,CC Causses et Vallée de la Dordogne,46400.0,7619.0,46128,46000,0.0,407,588,6,69.0,44.858,1.86,6,Rural à habitat dispersé,2.3401050465060296
16983,46272,Saint-Jean-Mirabel,saint-jean-mirabel,SAINT-JEAN-MIRABEL,COM,commune,76,Occitanie,46,Lot,4608,Figeac-2,200067361,CC Grand-Figeac,46270.0,7611.0,12300,46000,0.0,299,922,9,32.0,44.633,2.108,7,Rural à habitat très dispersé,6.330318047098803
16984,46273,Saint-Laurent-les-Tours,saint-laurent-les-tours,SAINT-LAURENT-LES-TOURS,COM,commune,76,Occitanie,46,Lot,4616,Saint-Céré,200066371,CC Causses et Vallée de la Dordogne,46400.0,7619.0,46128,46105,1.0,847,1087,11,78.0,44.882,1.904,5,Bourgs ruraux,2.469545035175124
16985,46276,Saint-Martin-Labouval,saint-martin-labouval,SAINT-MARTIN-LABOUVAL,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,244600532,CC du Pays de Lalbenque-Limogne,46330.0,7607.0,46042,46000,0.0,189,1338,13,14.0,44.48,1.729,7,Rural à habitat très dispersé,23.51775293871836
16986,46277,Saint-Martin-le-Redon,saint-martin-le-redon,SAINT-MARTIN-LE-REDON,COM,commune,76,Occitanie,46,Lot,4615,Puy-l'Evêque,244600433,CC de la Vallée du Lot et du Vignoble,46700.0,7607.0,46042,46000,0.0,196,1069,11,18.0,44.534,1.034,7,Rural à habitat très dispersé,29.43612959644287
