nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
330781253;CENTRE HOSPITALIER DE LIBOURNE;04;Psychiatrie;07;Infanto-juvénile;03;Hospitalisation à temps partiel de jour;752604584;1978-07-12;330040569;HOPITAL DE JOUR ENFANTS AMAZONE;4584;;75-72-38270;75-72-38270;;;2011-08-03;2022-02-02
330000274;POLYCLINIQUE BX-NORD-AQUITAINE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;44;Hémodialyse en unité d'auto dialyse assistée;14;Non saisonnier;752605582;2013-03-01;330051608;ANTENNE AUTODIALYSE PBNA - CASTELNAU;5582;;75-72-46298;75-72-46298;;;2014-12-08;2027-06-07
330000258;NEPHRO-DIALYSE SAS CTMR ST-AUGUSTIN;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;752607357;2018-01-23;330054453;ANTENNE AUTODIALYSE CTMR;7357;;75-72-65788;75-72-65788;;;2019-12-04;2027-06-03
330781253;CENTRE HOSPITALIER DE LIBOURNE;14;Médecine d'urgence;29;SMUR Antenne;14;Non saisonnier;752604926;2007-03-20;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;4926;;75-72-38352;75-72-38352;;;2007-03-20;2022-09-19
330781253;CENTRE HOSPITALIER DE LIBOURNE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752605260;2007-03-20;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;5260;;75-72-43067;75-72-43067;;;2007-03-20;2022-09-19
330000274;POLYCLINIQUE BX-NORD-AQUITAINE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;44;Hémodialyse en unité d'auto dialyse assistée;14;Non saisonnier;752607078;2016-08-05;330058694;ANTENNE AUTODIALYSE PBNA - LANGOIRAN;7078;;75-72-59793;75-72-59793;;;2020-03-09;2027-09-08
330046129;SELAS EUROFINS BIOFFICE;17;AMP DPN;51;AMP Bio : préparation et conservation du sperme en vue d'une insémination artificielle;00;Pas de forme;752605166;2008-02-12;330060633;LBM EUROFINS BIOFFICE - BRUGES MARYSE;5166;;75-72-42566;75-72-42566;;;2008-05-07;2025-11-06
330046129;SELAS EUROFINS BIOFFICE;17;AMP DPN;80;AMP Bio : activité relative à la FIV avec ou sans micromanipulation;00;Pas de forme;752605167;2008-02-12;330060633;LBM EUROFINS BIOFFICE - BRUGES MARYSE;5167;;75-72-42568;75-72-42568;;;2008-05-07;2025-11-06
330046129;SELAS EUROFINS BIOFFICE;17;AMP DPN;74;AMP Bio : conservation des embryons en vue d'un projet parental;00;Pas de forme;752605168;2008-02-12;330060633;LBM EUROFINS BIOFFICE - BRUGES MARYSE;5168;;75-72-42569;75-72-42569;;;2008-05-07;2025-11-06
330000134;SA POLYCLINIQUE BORDEAUX RIVE DROITE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;752604809;2007-03-20;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;4809;;75-72-40573;75-72-40573;;;2007-03-21;2022-09-20
