nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
SELARL C.I.B.E.R.;05702;Caméra à scintillation avec détecteur d'émission de positons;242610527;24-24-53152;24-24-53152;2015-03-30;360008361;2017-10-23;
SELARL C.I.B.E.R.;05702;Caméra à scintillation avec détecteur d'émission de positons;242610833;24-24-74718;24-24-74718;2021-03-31;360008361;2024-12-23;
CHU DE TOURS;05705;Tomographe à émissions;242610470;24-24-59266;24-24-59266;2016-03-21;370000861;2019-05-01;
CHU DE TOURS;05701;Caméra à scintillation sans détecteur d'émission de positons;242610471;24-24-737;24-24-737;1999-12-30;370000861;2003-03-04;
CHU DE TOURS;05602;Scanographe à utilisation médicale;242610472;24-24-718;24-24-718;2008-01-24;370000861;2008-11-24;
CHU DE TOURS;06201;Appareil d'IRM à utilisation clinique;242610474;24-24-751;24-24-751;2007-12-04;370000861;2008-10-06;
CHU DE TOURS;05602;Scanographe à utilisation médicale;242610476;24-24-752;24-24-752;2008-03-19;370000861;2008-03-19;
CHU DE TOURS;05705;Tomographe à émissions;242610478;24-24-1168;24-24-1168;2010-08-03;370000861;2008-07-02;
CHU DE TOURS;06201;Appareil d'IRM à utilisation clinique;242610479;24-24-1402;24-24-1402;2011-03-31;370000861;2011-05-27;
CH INTERCOM AMBOISE CHATEAU RENAULT;05602;Scanographe à utilisation médicale;242610480;24-24-1141;24-24-1141;2010-02-05;370000879;2013-05-27;
CH DE LOCHES;05602;Scanographe à utilisation médicale;242610481;24-24-815;24-24-815;2008-06-17;370000903;2009-01-09;
SCM DU SCANNER ET IRM DU CHINONAIS;06201;Appareil d'IRM à utilisation clinique;242610484;24-24-53149;24-24-53149;2015-03-30;370002768;2017-11-20;
SCM DU SCANNER ET IRM DU CHINONAIS;05602;Scanographe à utilisation médicale;242610485;24-24-74721;24-24-74721;2021-03-31;370002768;2021-07-20;
SCM DU SCANNER ET IRM DU CHINONAIS;05602;Scanographe à utilisation médicale;242610486;24-24-723;24-24-723;2002-07-04;370002768;2004-09-18;
SCM DU SCANNER ET IRM DU CHINONAIS;06201;Appareil d'IRM à utilisation clinique;242610487;24-24-855;24-24-855;2006-11-23;370002768;2007-11-19;
CHU DE TOURS;05701;Caméra à scintillation sans détecteur d'émission de positons;242610468;24-24-728;24-24-728;2001-07-13;370004467;2008-03-05;
CHU DE TOURS;05701;Caméra à scintillation sans détecteur d'émission de positons;242610469;24-24-738;24-24-738;1999-12-30;370004467;2003-04-25;
CHU DE TOURS;06201;Appareil d'IRM à utilisation clinique;242610473;24-24-719;24-24-719;2001-02-26;370004467;2002-09-10;
CHU DE TOURS;05602;Scanographe à utilisation médicale;242610475;24-24-745;24-24-745;2004-06-29;370004467;2005-12-06;
CHU DE TOURS;05602;Scanographe à utilisation médicale;242610477;24-24-1142;24-24-1142;2010-02-05;370004467;2010-08-12;
CHU DE TOURS;06201;Appareil d'IRM à utilisation clinique;242610836;24-24-75148;24-24-75148;2021-07-20;370004467;2023-09-20;
SAS IMAGERIE 37;06201;Appareil d'IRM à utilisation clinique;242610494;24-24-47271;24-24-47271;2013-10-17;370007668;2015-09-14;
SAS IMAGERIE 37;05602;Scanographe à utilisation médicale;242610498;24-24-70607;24-24-70607;2019-04-08;370007668;2019-09-16;
SAS IMAGERIE 37;05602;Scanographe à utilisation médicale;242610501;24-24-843;24-24-843;2006-11-23;370007668;2008-01-04;
SAS IMAGERIE 37;06201;Appareil d'IRM à utilisation clinique;242610502;24-24-842;24-24-842;2006-11-23;370007668;2008-01-04;
SAS IMAGERIE 37;06201;Appareil d'IRM à utilisation clinique;242610495;24-24-58043;24-24-58043;2015-10-13;370007718;2018-01-22;
SAS IMAGERIE 37;05602;Scanographe à utilisation médicale;242610496;24-24-840;24-24-840;2006-11-23;370007718;2007-11-15;
SAS IMAGERIE 37;06201;Appareil d'IRM à utilisation clinique;242610497;24-24-841;24-24-841;2006-11-23;370007718;2007-11-15;
SAS IMAGERIE 37;06201;Appareil d'IRM à utilisation clinique;242610499;24-24-75449;24-24-75449;2021-10-14;370007718;2023-06-20;
SELARL MÉDECINE NUCLÉAIRE TOURANGELLE;05701;Caméra à scintillation sans détecteur d'émission de positons;242610490;24-24-785;24-24-785;2007-04-10;370012544;2007-12-20;
SELARL MÉDECINE NUCLÉAIRE TOURANGELLE;05705;Tomographe à émissions;242610491;24-24-1405;24-24-1405;2011-04-06;370012544;2011-06-21;
